event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190720_000836-v2,1247616534.7,14.2,7.5,21.8,9.0,770.0,10.9,1e-05,GWTC-2.1-confident,GW190720_000836,2019-07-20,2019,BBH,O3a,20–40,500–1k,0.5281690140845071,False
GW190720_000836-v3,1247616534.6,17.0,6.0,23.0,8.6,1100.0,10.3,0.001,IAS-O3a,GW190720_000836,2019-07-20,2019,BBH,O3a,20–40,1k–2k,0.35294117647058826,False
GW190725_174728-v1,1248112066.4,11.8,6.3,18.3,7.4,1030.0,9.1,0.46,GWTC-2.1-confident,GW190725_174728,2019-07-25,2019,BBH,O3a,10–20,1k–2k,0.5338983050847457,False
GW190725_174728-v2,1248112066.4,13.0,5.0,19.0,7.5,1100.0,9.51,0.029,IAS-O3a,GW190725_174728,2019-07-25,2019,BBH,O3a,10–20,1k–2k,0.38461538461538464,False
GW190727_060333-v2,1248242631.9,38.9,30.2,68.8,29.4,3070.0,11.7,1e-05,GWTC-2.1-confident,GW190727_060333,2019-07-27,2019,BBH,O3a,60–100,2k–5k,0.7763496143958869,False
GW190727_060333-v1,1248242632.0,38.0,29.4,67.1,28.6,3300.0,12.29941092425987,1e-05,GWTC-2,GW190727_060333,2019-07-27,2019,BBH,O3a,60–100,2k–5k,0.7736842105263158,False
GW190727_060333-v3,1248242632.0,38.0,29.0,67.0,28.0,3300.0,11.7,0.001,IAS-O3a,GW190727_060333,2019-07-27,2019,BBH,O3a,60–100,2k–5k,0.7631578947368421,False
GW190728_064510-v1,1248331528.5,12.3,8.1,20.6,8.6,870.0,13.64274847591606,1e-05,GWTC-2,GW190728_064510,2019-07-28,2019,BBH,O3a,20–40,500–1k,0.6585365853658536,False
GW190728_064510-v2,1248331528.5,12.5,8.0,20.7,8.6,880.0,13.1,1e-05,GWTC-2.1-confident,GW190728_064510,2019-07-28,2019,BBH,O3a,20–40,500–1k,0.64,False
GW190728_064510-v3,1248331528.5,16.0,7.0,23.0,8.7,900.0,13.0,0.001,IAS-O3a,GW190728_064510,2019-07-28,2019,BBH,O3a,20–40,500–1k,0.4375,False
GW190731_140936-v1,1248617394.6,41.5,28.8,70.1,29.5,3300.0,8.460146466288636,0.2058421231186779,GWTC-2,GW190731_140936,2019-07-31,2019,BBH,O3a,60–100,2k–5k,0.6939759036144578,False
